layerName,real_ms,cpu_ms,dpu_ms,dma_ms,reldiff_real_dpu,reldiff_real_dma,reldiff_cpu_dpu,reldiff_cpu_dma,ratio_dpu_real,ratio_dpu_cpu,ratio_dma_real,ratio_dma_cpu,mapA_score,mapB_score,better_mapping
/classifier/classifier.1/Gemm/WithoutBiases,0.054000,0.038000,0.023951,0.137739,0.7710,0.8735,0.4536,1.1351,0.4435,0.6303,2.5507,3.6247,0.9530,0.6635,"B (real~DMA,cpu~DPU)"
/resnet/embedder/embedder/convolution/Conv/WithoutBiases,0.116000,0.464000,0.259760,0.007634,0.7652,1.7530,0.5644,1.9353,2.2393,0.5598,0.0658,0.0165,1.3502,1.1587,"B (real~DMA,cpu~DPU)"
/resnet/embedder/pooler/MaxPool,0.015000,0.062000,0.027974,0.000000,0.6038,2.0000,0.7564,2.0000,1.8649,0.4512,0.0000,0.0000,1.3019,1.3782,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.0/Add,0.019000,0.076000,0.035228,0.000000,0.5985,2.0000,0.7331,2.0000,1.8541,0.4635,0.0000,0.0000,1.2993,1.3666,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.0/layer/layer.0/convolution/Conv/WithoutBiases,0.006000,0.023000,0.012812,0.001150,0.7242,1.3566,0.5690,1.8095,2.1353,0.5570,0.1917,0.0500,1.2669,0.9628,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.0/layer/layer.1/convolution/Conv/WithoutBiases,0.032000,0.130000,0.056643,0.002351,0.5560,1.7262,0.7861,1.9289,1.7701,0.4357,0.0735,0.0181,1.2425,1.2562,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.0/layer/layer.2/convolution/Conv/WithoutBiases,0.020000,0.080000,0.048756,0.001738,0.8365,1.6802,0.4853,1.9149,2.4378,0.6095,0.0869,0.0217,1.3757,1.0828,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.0/shortcut/convolution/Conv/WithoutBiases,0.020000,0.081000,0.049736,0.001962,0.8528,1.6427,0.4783,1.9054,2.4868,0.6140,0.0981,0.0242,1.3791,1.0605,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.1/Add,0.019000,0.076000,0.035228,0.000000,0.5985,2.0000,0.7331,2.0000,1.8541,0.4635,0.0000,0.0000,1.2993,1.3666,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.1/layer/layer.0/convolution/Conv/WithoutBiases,0.015000,0.060000,0.029940,0.001783,0.6649,1.5750,0.6684,1.8846,1.9960,0.4990,0.1189,0.0297,1.2747,1.1217,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.1/layer/layer.1/convolution/Conv/WithoutBiases,0.034000,0.139000,0.068101,0.003080,0.6680,1.6677,0.6847,1.9133,2.0030,0.4899,0.0906,0.0222,1.2906,1.1762,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.1/layer/layer.2/convolution/Conv/WithoutBiases,0.020000,0.081000,0.049132,0.001964,0.8428,1.6423,0.4898,1.9053,2.4566,0.6066,0.0982,0.0242,1.3741,1.0661,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.2/Add,0.019000,0.076000,0.035228,0.101608,0.5985,1.3699,0.7331,0.2884,1.8541,0.4635,5.3478,1.3369,0.4434,1.0515,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.0/layers.2/layer/layer.0/convolution/Conv/WithoutBiases,0.016000,0.064000,0.030660,0.001874,0.6284,1.5806,0.7044,1.8862,1.9163,0.4791,0.1171,0.0293,1.2573,1.1425,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.2/layer/layer.1/convolution/Conv/WithoutBiases,0.034000,0.139000,0.068101,0.003080,0.6680,1.6677,0.6847,1.9133,2.0030,0.4899,0.0906,0.0222,1.2906,1.1762,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.0/layers.2/layer/layer.2/convolution/Conv/WithoutBiases,0.020000,0.081000,0.049132,0.001964,0.8428,1.6423,0.4898,1.9053,2.4566,0.6066,0.0982,0.0242,1.3741,1.0661,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.0/Add,0.017000,0.070000,0.016740,0.000000,0.0154,2.0000,1.2280,2.0000,0.9847,0.2391,0.0000,0.0000,1.0077,1.6140,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.1/layers.0/layer/layer.0/convolution/Conv/WithoutBiases,0.032000,0.128000,0.062648,0.002869,0.6476,1.6709,0.6856,1.9123,1.9577,0.4894,0.0897,0.0224,1.2800,1.1782,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.0/layer/layer.1/convolution/Conv/WithoutBiases,0.065000,0.250000,0.112128,0.032400,0.5321,0.6694,0.7615,1.5411,1.7250,0.4485,0.4985,0.1296,1.0366,0.7154,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.0/layer/layer.2/convolution/Conv/WithoutBiases,0.016000,0.066000,0.033496,0.015282,0.7070,0.0459,0.6534,1.2480,2.0935,0.5075,0.9551,0.2315,0.9775,0.3496,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.0/shortcut/convolution/Conv/WithoutBiases,0.032000,0.127000,0.066108,0.064030,0.6953,0.6671,0.6307,0.6593,2.0659,0.5205,2.0009,0.5042,0.6773,0.6489,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.1/Add,0.015000,0.062000,0.016740,0.000000,0.1096,2.0000,1.1496,2.0000,1.1160,0.2700,0.0000,0.0000,1.0548,1.5748,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.1/layers.1/layer/layer.0/convolution/Conv/WithoutBiases,0.017000,0.069000,0.034752,0.004799,0.6860,1.1194,0.6602,1.7399,2.0442,0.5037,0.2823,0.0696,1.2130,0.8898,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.1/layer/layer.1/convolution/Conv/WithoutBiases,0.031000,0.124000,0.093392,0.015832,1.0032,0.6478,0.2816,1.5471,3.0126,0.7532,0.5107,0.1277,1.2751,0.4647,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.1/layer/layer.2/convolution/Conv/WithoutBiases,0.016000,0.065000,0.033496,0.004980,0.7070,1.0505,0.6397,1.7153,2.0935,0.5153,0.3112,0.0766,1.2112,0.8451,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.2/Add,0.015000,0.060000,0.016740,0.000000,0.1096,2.0000,1.1274,2.0000,1.1160,0.2790,0.0000,0.0000,1.0548,1.5637,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.1/layers.2/layer/layer.0/convolution/Conv/WithoutBiases,0.016000,0.067000,0.034752,0.004799,0.7390,1.0771,0.6339,1.7326,2.1720,0.5187,0.2999,0.0716,1.2358,0.8555,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.2/layer/layer.1/convolution/Conv/WithoutBiases,0.031000,0.123000,0.093392,0.015832,1.0032,0.6478,0.2737,1.5439,3.0126,0.7593,0.5107,0.1287,1.2735,0.4607,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.2/layer/layer.2/convolution/Conv/WithoutBiases,0.016000,0.065000,0.033496,0.005858,0.7070,0.9280,0.6397,1.6693,2.0935,0.5153,0.3661,0.0901,1.1881,0.7838,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.3/Add,0.015000,0.060000,0.016740,0.027156,0.1096,0.5767,1.1274,0.7537,1.1160,0.2790,1.8104,0.4526,0.4317,0.8521,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.1/layers.3/layer/layer.0/convolution/Conv/WithoutBiases,0.016000,0.067000,0.034752,0.004799,0.7390,1.0771,0.6339,1.7326,2.1720,0.5187,0.2999,0.0716,1.2358,0.8555,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.3/layer/layer.1/convolution/Conv/WithoutBiases,0.031000,0.124000,0.093392,0.015832,1.0032,0.6478,0.2816,1.5471,3.0126,0.7532,0.5107,0.1277,1.2751,0.4647,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.1/layers.3/layer/layer.2/convolution/Conv/WithoutBiases,0.016000,0.066000,0.033496,0.005858,0.7070,0.9280,0.6534,1.6739,2.0935,0.5075,0.3661,0.0888,1.1904,0.7907,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.0/Add,0.008000,0.031000,0.009090,0.000000,0.1276,2.0000,1.0930,2.0000,1.1362,0.2932,0.0000,0.0000,1.0638,1.5465,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.2/layers.0/layer/layer.0/convolution/Conv/WithoutBiases,0.033000,0.132000,0.068604,0.008720,0.7008,1.1640,0.6321,1.7521,2.0789,0.5197,0.2642,0.0661,1.2265,0.8980,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.0/layer/layer.1/convolution/Conv/WithoutBiases,0.039000,0.158000,0.076520,0.042706,0.6496,0.0907,0.6949,1.1489,1.9621,0.4843,1.0950,0.2703,0.8992,0.3928,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.0/layer/layer.2/convolution/Conv/WithoutBiases,0.023000,0.091000,0.037812,0.018558,0.4871,0.2138,0.8258,1.3224,1.6440,0.4155,0.8069,0.2039,0.9048,0.5198,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.0/shortcut/convolution/Conv/WithoutBiases,0.042000,0.161000,0.071056,0.062879,0.5140,0.3982,0.7752,0.8766,1.6918,0.4413,1.4971,0.3906,0.6953,0.5867,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.1/Add,0.008000,0.031000,0.009090,0.000000,0.1276,2.0000,1.0930,2.0000,1.1362,0.2932,0.0000,0.0000,1.0638,1.5465,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.2/layers.1/layer/layer.0/convolution/Conv/WithoutBiases,0.026000,0.100000,0.035484,0.018198,0.3085,0.3530,0.9524,1.3842,1.3648,0.3548,0.6999,0.1820,0.8463,0.6527,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.1/layer/layer.1/convolution/Conv/WithoutBiases,0.039000,0.158000,0.075760,0.041828,0.6406,0.0700,0.7036,1.1627,1.9426,0.4795,1.0725,0.2647,0.9017,0.3868,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.1/layer/layer.2/convolution/Conv/WithoutBiases,0.024000,0.091000,0.037812,0.017680,0.4469,0.3033,0.8258,1.3493,1.5755,0.4155,0.7367,0.1943,0.8981,0.5645,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.2/Add,0.007000,0.027000,0.009090,0.000000,0.2598,2.0000,0.9925,2.0000,1.2986,0.3367,0.0000,0.0000,1.1299,1.4963,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.2/layers.2/layer/layer.0/convolution/Conv/WithoutBiases,0.027000,0.103000,0.035484,0.017320,0.2716,0.4368,0.9751,1.4242,1.3142,0.3445,0.6415,0.1682,0.8479,0.7059,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.2/layer/layer.1/convolution/Conv/WithoutBiases,0.039000,0.158000,0.075760,0.041828,0.6406,0.0700,0.7036,1.1627,1.9426,0.4795,1.0725,0.2647,0.9017,0.3868,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.2/layer/layer.2/convolution/Conv/WithoutBiases,0.023000,0.091000,0.037812,0.017680,0.4871,0.2616,0.8258,1.3493,1.6440,0.4155,0.7687,0.1943,0.9182,0.5437,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.3/Add,0.010000,0.034000,0.009090,0.000000,0.0953,2.0000,1.1562,2.0000,0.9090,0.2674,0.0000,0.0000,1.0477,1.5781,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.2/layers.3/layer/layer.0/convolution/Conv/WithoutBiases,0.027000,0.103000,0.035484,0.018198,0.2716,0.3895,0.9751,1.3994,1.3142,0.3445,0.6740,0.1767,0.8355,0.6823,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.3/layer/layer.1/convolution/Conv/WithoutBiases,0.039000,0.158000,0.075760,0.041828,0.6406,0.0700,0.7036,1.1627,1.9426,0.4795,1.0725,0.2647,0.9017,0.3868,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.3/layer/layer.2/convolution/Conv/WithoutBiases,0.021000,0.082000,0.037812,0.017680,0.5717,0.1717,0.7376,1.2905,1.8006,0.4611,0.8419,0.2156,0.9311,0.4546,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.4/Add,0.008000,0.031000,0.009090,0.000000,0.1276,2.0000,1.0930,2.0000,1.1362,0.2932,0.0000,0.0000,1.0638,1.5465,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.2/layers.4/layer/layer.0/convolution/Conv/WithoutBiases,0.022000,0.086000,0.035484,0.017320,0.4691,0.2380,0.8316,1.3295,1.6129,0.4126,0.7873,0.2014,0.8993,0.5348,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.4/layer/layer.1/convolution/Conv/WithoutBiases,0.039000,0.158000,0.075760,0.041828,0.6406,0.0700,0.7036,1.1627,1.9426,0.4795,1.0725,0.2647,0.9017,0.3868,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.4/layer/layer.2/convolution/Conv/WithoutBiases,0.023000,0.089000,0.037812,0.017680,0.4871,0.2616,0.8073,1.3371,1.6440,0.4249,0.7687,0.1987,0.9121,0.5344,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.5/Add,0.010000,0.041000,0.009090,0.000000,0.0953,2.0000,1.2741,2.0000,0.9090,0.2217,0.0000,0.0000,1.0477,1.6371,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.2/layers.5/layer/layer.0/convolution/Conv/WithoutBiases,0.026000,0.096000,0.035484,0.017320,0.3085,0.4007,0.9205,1.3886,1.3648,0.3696,0.6662,0.1804,0.8486,0.6606,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.5/layer/layer.1/convolution/Conv/WithoutBiases,0.039000,0.158000,0.075760,0.041828,0.6406,0.0700,0.7036,1.1627,1.9426,0.4795,1.0725,0.2647,0.9017,0.3868,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.2/layers.5/layer/layer.2/convolution/Conv/WithoutBiases,0.020000,0.079000,0.037812,0.017680,0.6162,0.1231,0.7052,1.2685,1.8906,0.4786,0.8840,0.2238,0.9424,0.4142,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.3/layers.0/Add,0.007000,0.028000,0.011471,0.026515,0.4841,1.1646,0.8375,0.0545,1.6387,0.4097,3.7879,0.9470,0.2693,1.0010,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.0/layer/layer.0/convolution/Conv/WithoutBiases,0.036000,0.147000,0.072056,0.038028,0.6674,0.0548,0.6842,1.1779,2.0016,0.4902,1.0563,0.2587,0.9226,0.3695,"B (real~DMA,cpu~DPU)"
/resnet/encoder/stages.3/layers.0/layer/layer.1/convolution/Conv/WithoutBiases,0.088000,0.161000,0.097280,0.167552,0.1002,0.6226,0.4934,0.0399,1.1055,0.6042,1.9040,1.0407,0.0700,0.5580,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.0/layer/layer.2/convolution/Conv/WithoutBiases,0.036000,0.094000,0.039168,0.085720,0.0843,0.8170,0.8235,0.0921,1.0880,0.4167,2.3811,0.9119,0.0882,0.8202,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.0/shortcut/convolution/Conv/WithoutBiases,0.074000,0.156000,0.087168,0.193128,0.1634,0.8919,0.5661,0.2127,1.1779,0.5588,2.6098,1.2380,0.1880,0.7290,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.1/Add,0.008000,0.029000,0.011471,0.026515,0.3565,1.0729,0.8662,0.0895,1.4339,0.3956,3.3144,0.9143,0.2230,0.9696,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.1/layer/layer.0/convolution/Conv/WithoutBiases,0.036000,0.073000,0.047240,0.075936,0.2701,0.7136,0.4285,0.0394,1.3122,0.6471,2.1093,1.0402,0.1547,0.5710,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.1/layer/layer.1/convolution/Conv/WithoutBiases,0.067000,0.159000,0.082544,0.153144,0.2079,0.7826,0.6331,0.0375,1.2320,0.5191,2.2857,0.9632,0.1227,0.7078,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.1/layer/layer.2/convolution/Conv/WithoutBiases,0.035000,0.094000,0.039168,0.085720,0.1124,0.8403,0.8235,0.0921,1.1191,0.4167,2.4491,0.9119,0.1023,0.8319,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.2/Add,0.007000,0.029000,0.011471,0.018848,0.4841,0.9167,0.8662,0.4243,1.6387,0.3956,2.6926,0.6499,0.4542,0.8915,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.2/layer/layer.0/convolution/Conv/WithoutBiases,0.035000,0.073000,0.047240,0.075936,0.2977,0.7380,0.4285,0.0394,1.3497,0.6471,2.1696,1.0402,0.1685,0.5832,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.2/layer/layer.1/convolution/Conv/WithoutBiases,0.066000,0.159000,0.082544,0.153144,0.2227,0.7953,0.6331,0.0375,1.2507,0.5191,2.3204,0.9632,0.1301,0.7142,"A (real~DPU,cpu~DMA)"
/resnet/encoder/stages.3/layers.2/layer/layer.2/convolution/Conv/WithoutBiases,0.035000,0.094000,0.039168,0.085720,0.1124,0.8403,0.8235,0.0921,1.1191,0.4167,2.4491,0.9119,0.1023,0.8319,"A (real~DPU,cpu~DMA)"
/resnet/pooler/GlobalAveragePool,0.027000,0.109000,0.054260,0.000000,0.6709,2.0000,0.6706,2.0000,2.0096,0.4978,0.0000,0.0000,1.3355,1.3353,"B (real~DMA,cpu~DPU)"
logits/sink_port_0,0.005000,0.021000,0.000000,0.001874,2.0000,0.9095,2.0000,1.6723,0.0000,0.0000,0.3748,0.0892,1.8361,1.4548,"B (real~DMA,cpu~DPU)"
